year,sex,age_x,qx,lx,dx,upcase_lx,upcase_tx,ex
2004,Male,23,0.00065,99165,65,99133,5421505,54.7
2004,Male,24,0.00062,99100,61,99070,5322372,53.7
2004,Male,25,0.00058,99039,57,99010,5223303,52.7
2004,Male,26,0.00055,98982,54,98955,5124292,51.8
2004,Male,27,0.00053,98928,53,98901,5025338,50.8
2004,Male,28,0.00055,98875,54,98848,4926437,49.8
2004,Male,29,0.00058,98821,58,98792,4827589,48.9
2004,Male,30,0.00062,98763,61,98732,4728797,47.9
2004,Male,31,0.00066,98702,65,98669,4630064,46.9
2004,Male,32,0.0007,98637,69,98602,4531395,45.9
2004,Male,33,0.00074,98568,73,98531,4432793,45
2004,Male,34,0.00079,98495,77,98456,4334261,44
2004,Male,35,0.00083,98417,82,98376,4235805,43
2004,Male,36,0.00088,98335,87,98292,4137429,42.1
2004,Male,37,0.00095,98249,94,98202,4039137,41.1
2004,Male,38,0.00105,98155,103,98103,3940935,40.2
2004,Male,39,0.00117,98052,115,97994,3842832,39.2
2004,Male,40,0.0013,97937,127,97873,3744838,38.2
2004,Male,41,0.00142,97810,139,97740,3646964,37.3
2004,Male,42,0.00157,97670,153,97594,3549224,36.3
2004,Male,43,0.00174,97517,170,97432,3451631,35.4
2004,Male,44,0.00192,97347,187,97254,3354198,34.5
2004,Male,45,0.00211,97160,205,97057,3256945,33.5
2004,Male,46,0.00231,96955,224,96843,3159887,32.6
2004,Male,47,0.00255,96731,247,96607,3063044,31.7
2004,Male,48,0.00285,96484,275,96346,2966437,30.7
2004,Male,49,0.00319,96208,307,96055,2870091,29.8
2004,Male,50,0.00353,95902,338,95733,2774036,28.9
2004,Male,51,0.00389,95564,372,95378,2678303,28
2004,Male,52,0.00433,95192,412,94986,2582925,27.1
2004,Male,53,0.00489,94780,463,94548,2487939,26.2
2004,Male,54,0.00552,94316,521,94056,2393391,25.4
2004,Male,55,0.00617,93796,579,93506,2299335,24.5
2004,Male,56,0.00685,93217,638,92897,2205829,23.7
2004,Male,57,0.00759,92578,703,92227,2112932,22.8
2004,Male,58,0.00843,91876,774,91489,2020705,22
2004,Male,59,0.00931,91101,848,90677,1929216,21.2
2004,Male,60,0.0102,90253,921,89793,1838539,20.4
2004,Male,61,0.01116,89333,997,88834,1748746,19.6
2004,Male,62,0.01238,88335,1094,87788,1659912,18.8
2004,Male,63,0.01399,87242,1221,86631,1572124,18
2004,Male,64,0.01585,86021,1363,85339,1485492,17.3
2004,Male,65,0.01777,84657,1504,83905,1400153,16.5
2004,Male,66,0.01973,83153,1640,82333,1316248,15.8
2004,Male,67,0.02183,81513,1779,80623,1233915,15.1
2004,Male,68,0.02415,79734,1926,78771,1153292,14.5
2004,Male,69,0.0266,77808,2070,76773,1074522,13.8
2004,Male,70,0.02906,75738,2201,74638,997749,13.2
2004,Male,71,0.03165,73537,2328,72373,923111,12.6
2004,Male,72,0.0347,71209,2471,69974,850738,11.9
2004,Male,73,0.03845,68738,2643,67417,780764,11.4
2004,Male,74,0.0426,66095,2816,64688,713347,10.8
2004,Male,75,0.04684,63280,2964,61798,648660,10.3
2004,Male,76,0.05118,60316,3087,58772,586862,9.7
2004,Male,77,0.05592,57229,3200,55629,528090,9.2
2004,Male,78,0.06128,54029,3311,52373,472461,8.7
2004,Male,79,0.06699,50718,3398,49019,420088,8.3
2004,Male,80,0.07268,47320,3439,45600,371070,7.8
2004,Male,81,0.07833,43881,3437,42162,325469,7.4
2004,Male,82,0.08437,40444,3412,38738,283307,7
2004,Male,83,0.09133,37032,3382,35341,244569,6.6
2004,Male,84,0.0996,33650,3352,31974,209229,6.2
2004,Male,85,0.10814,30298,3276,28660,177255,5.9
2004,Male,86,0.11736,27022,3171,25436,148595,5.5
2004,Male,87,0.12731,23851,3036,22332,123159,5.2
2004,Male,88,0.13805,20814,2873,19377,100826,4.8
2004,Male,89,0.14962,17941,2684,16599,81449,4.5
